Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL129521,,None,360.28,1,5.36,9f,O=C(CCN1CC=C(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,IC50,'=',158,nM,6.8,,,UO_0000065,18.88,0.39,1.44,33.49,0,CHEMBL846480,Binding affinity against sigma receptor in bovine cerebellum using 2.0 nM [3H]haloperidol in the presence of 25 nM unlabeled spiperone,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3638233,Cerebellum,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126928,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL39480,,None,387.52,0,4,62,CC(C)Cc1cc(=O)c2cc(OCCCCCN3CCC(O)CC3)ccc2o1,IC50,'=',139,nM,6.86,,,UO_0000065,17.69,0.33,2.86,10.9,0,CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,BAO_0000357,single protein format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125448,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL280243,,None,295.43,1,5.39,8,CC(C)c1ccccc1NC(=N)Nc1ccccc1C(C)C,IC50,'=',88,nM,7.06,,,UO_0000065,23.88,0.44,1.67,14.73,0,CHEMBL803935,Tested in vitro for the concentration required to inhibit specific [3H]DTG radioligand binding to sigma receptor on guinea pig brain membrane,B,BAO_0000019,assay format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1127479,1,Scientific Literature,J Med Chem,1994,None,
CHEMBL596,FENTANYL,4.0,336.48,0,4.14,1,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,IC50,'=',354,nM,6.45,,,UO_0000065,19.17,0.35,2.31,27.39,0,CHEMBL4374382,Displacement of [3H]PPP from sigma1 receptor (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4373662,1,Scientific Literature,Medchemcomm,2019,None,
CHEMBL1744011,,None,341.93,0,4.95,46,Cl.c1ccc(CN2CCC3(CCCCc4ccccc43)CC2)cc1,IC50,'=',6.761,nM,8.17,,,UO_0000065,26.75,0.49,3.22,252.16,0,CHEMBL873464,In vitro binding affinity against sigma receptor by using [3H]-DTG ([3H]-6) as radioligand in guinea pig cerebellum.,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3638233,Cerebellum,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126060,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL324092,,None,352.87,0,4.96,29,Clc1ccc(OCCN2C3CCC2c2c([nH]c4ccccc24)C3)cc1,IC50,'=',251,nM,6.6,,,UO_0000065,18.7,0.36,1.64,23.36,0,CHEMBL803916,Binding affinity against sigma sites in guinea pig membrane using [3H]DTG as the radioligand,B,BAO_0000249,cell membrane format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126584,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL553749,,None,450.73,1,6.05,30a,CCc1cccc(NC(=N)Nc2cc(C(F)(F)F)cc(CC)c2Br)c1.Cl,IC50,'=',19.6,nM,7.71,,,UO_0000065,18.61,0.42,1.66,16.09,0,CHEMBL803933,"Binding assay for the sigma receptor sites is performed by utilizing [3H]N,N-di-o-tolylguanidine ([3H]DTG) and guinea pig brain membrane suspensions",B,BAO_0000019,assay format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1130271,1,Scientific Literature,J Med Chem,1997,None,
CHEMBL291300,,None,421.54,0,4.86,77,O=c1cc(-c2ccccc2)oc2c(OCCCCCCN3CCC(O)CC3)cccc12,IC50,'=',36,nM,7.44,,,UO_0000065,17.66,0.33,2.58,11.83,0,CHEMBL809885,Potency at the sigma binding site was determined in radioligand,B,BAO_0000357,single protein format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125448,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL340401,,None,293.41,0,4.14,11,O=C(CCN1CCC(c2ccccc2)CC1)c1ccccc1,IC50,'=',7,nM,8.15,,,UO_0000065,27.79,0.51,4.01,40.15,0,CHEMBL846480,Binding affinity against sigma receptor in bovine cerebellum using 2.0 nM [3H]haloperidol in the presence of 25 nM unlabeled spiperone,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3638233,Cerebellum,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126928,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL119804,,None,302.42,0,4.47,23,c1ccc(CCN2C3CCC2c2c([nH]c4ccccc24)C3)cc1,IC50,'=',1280,nM,5.89,,,UO_0000065,19.49,0.35,1.42,30.97,0,CHEMBL803754,Binding affinity against sigma sites in guinea pig membrane using [3H](+)-3-PPP as the radioligand,B,BAO_0000249,cell membrane format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126584,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL117898,,None,320.44,0,4.85,(+)-40,c1coc(CCCCN2C3CCC2c2c([nH]c4ccccc24)C3)c1,IC50,'=',46,nM,7.34,,,UO_0000065,22.9,0.42,2.49,22.81,0,CHEMBL803916,Binding affinity against sigma sites in guinea pig membrane using [3H]DTG as the radioligand,B,BAO_0000249,cell membrane format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126584,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL82078,,None,295.43,1,5.39,24,CC(C)c1cccc(NC(=N)Nc2cccc(C(C)C)c2)c1,IC50,'=',77,nM,7.11,,,UO_0000065,24.08,0.44,1.72,14.85,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL54,HALOPERIDOL,4.0,375.87,0,4.43,haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,IC50,'=',4,nM,8.4,,,UO_0000065,22.34,0.44,3.97,20.72,0,CHEMBL846626,Inhibition of specific binding of [3H]NANM of sigma binding site in Guinea pig brain membranes,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125550,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL60859,BMY-14802,None,348.4,0,2.39,BMY-14802,OC(CCCN1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,IC50,'=',120,nM,6.92,,,UO_0000065,19.86,0.38,4.53,13.19,0,CHEMBL846625,Inhibition of specific binding of [3H]DTG to sigma receptor in Guinea pig brain membranes,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125550,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL1788381,,None,293.88,0,4.16,25,CCCCN1CCC2(CCCc3ccccc32)CC1.Cl,IC50,'=',1.202,nM,8.92,,,UO_0000065,34.65,0.64,4.76,275.31,0,CHEMBL873464,In vitro binding affinity against sigma receptor by using [3H]-DTG ([3H]-6) as radioligand in guinea pig cerebellum.,B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3638233,Cerebellum,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126060,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL78488,,None,314.39,0,3.29,62,N/C(=N\C12CC3CC(CC(C3)C1)C2)Nc1ccccc1[N+](=O)[O-],IC50,'=',30,nM,7.52,,,UO_0000065,23.93,0.45,4.23,8.04,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL51,KETANSERIN,4.0,395.43,0,2.42,28 ketanserin,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,IC50,'=',1,nM,9,,,UO_0000065,22.76,0.42,6.58,11.97,0,CHEMBL805753,The compound was tested for affinity towards sigma-3 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1127786,1,Scientific Literature,J Med Chem,1994,None,
CHEMBL553535,,None,363.98,0,4.04,60,Cl.N=C(NC12CC3CC(CC(C3)C1)C2)NC12CC3CC(CC(C3)C1)C2,IC50,'=',11,nM,7.96,,,UO_0000065,24.3,0.45,3.92,16.61,0,CHEMBL873129,In vitro inhibitory activity against [3H]- (+)-3-PPP binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL309603,,None,239.32,0,3.76,21,Cc1cccc(NC(=N)Nc2cccc(C)c2)c1,IC50,'=',59,nM,7.23,,,UO_0000065,30.21,0.55,3.47,15.09,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL365754,,None,363.46,0,2.9,2,CN(CCCN1C(=O)[C@@H]2Cc3ccccc3CN2C1=O)Cc1ccccc1,IC50,'=',650,nM,6.19,,,UO_0000065,17.02,0.31,3.29,14.11,0,CHEMBL1114520,Displacement of [3H](+)-pentazocine from sigma 1 opioid receptor in human Jurkat cells by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1156252,1,Scientific Literature,Eur J Med Chem,2010,CHEMBL3307526,
CHEMBL2391375,,None,337.51,0,2.26,2u,CC(C)(C)CCNC(=O)CN1CCN(C(=O)C2CCCCC2)CC1,IC50,'=',21100,nM,4.68,,,UO_0000065,13.85,0.27,2.42,8.88,0,CHEMBL2395048,Binding affinity to sigma1 receptor (unknown origin) by radioligand displacement assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2390872,1,Scientific Literature,Bioorg Med Chem,2013,None,
CHEMBL556021,,None,353.64,0,2.82,79,CC(C)(C)/N=C(\N)Nc1ccccc1I.Cl,IC50,'=',21.1,nM,7.68,,,UO_0000065,24.2,0.7,4.86,15.23,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL36645,,None,362.45,1,5.03,49,O=C(CCCN1C2CCC1c1c([nH]c3ccccc13)C2)c1ccc(F)cc1,IC50,'=',283,nM,6.55,,,UO_0000065,18.07,0.33,1.52,18.14,0,CHEMBL803754,Binding affinity against sigma sites in guinea pig membrane using [3H](+)-3-PPP as the radioligand,B,BAO_0000249,cell membrane format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126584,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL2023825,,None,468.73,1,7.49,2c,c1ccc(C(c2ccc(N3CCN(C4CCCCC4)CC3)cc2)C23CC4CC(CC(C4)C2)C3)cc1,IC50,'=',0.27,nM,9.57,,,UO_0000065,20.41,0.37,2.08,147.66,0,CHEMBL2026918,Displacement of [3H](+)pentazocine from sigma-1 receptor expressed in human Jurkat cell membranes after 2 hrs by liquid scintillation spectroscopy,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2021794,1,Scientific Literature,Bioorg Med Chem,2012,CHEMBL3307526,
CHEMBL2023827,,None,386.58,1,5.44,2e,c1ccc(C(c2ccc(N3CCNCC3)cc2)C23CC4CC(CC(C4)C2)C3)cc1,IC50,'=',12.4,nM,7.91,,,UO_0000065,20.45,0.37,2.47,51.78,0,CHEMBL2026918,Displacement of [3H](+)pentazocine from sigma-1 receptor expressed in human Jurkat cell membranes after 2 hrs by liquid scintillation spectroscopy,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Jurkat,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2021794,1,Scientific Literature,Bioorg Med Chem,2012,CHEMBL3307526,
CHEMBL2391373,,None,279.43,0,1.08,2s,C[C@@H]1[C@@H](NC(=O)CN2CCNCC2)C[C@H]2C[C@@H]1C2(C)C,IC50,'=',15800,nM,4.8,,,UO_0000065,17.18,0.33,3.72,10.82,0,CHEMBL2395048,Binding affinity to sigma1 receptor (unknown origin) by radioligand displacement assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2390872,1,Scientific Literature,Bioorg Med Chem,2013,None,
CHEMBL2391363,,None,307.44,0,1.38,2h,O=C(CCN1CCN(C(=O)C2CC2)CC1)NC1CCCCC1,IC50,'=',8830,nM,5.05,,,UO_0000065,16.44,0.31,3.67,9.6,0,CHEMBL2395048,Binding affinity to sigma1 receptor (unknown origin) by radioligand displacement assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2390872,1,Scientific Literature,Bioorg Med Chem,2013,None,
CHEMBL310729,,None,271.32,0,3.16,45,COc1ccccc1NC(=N)Nc1ccccc1OC,IC50,'=',3800,nM,5.42,,,UO_0000065,19.98,0.37,2.26,8.17,0,CHEMBL873129,In vitro inhibitory activity against [3H]- (+)-3-PPP binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL553896,,None,431.75,0,4.2,57,Cl.N=C(Nc1ccccc1I)NC12CC3CC(CC(C3)C1)C2,IC50,'=',6,nM,8.22,,,UO_0000065,20.8,0.53,4.02,17.16,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL62,SCH-23390,None,287.79,0,3.67,SCH-23390,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,IC50,'=',389.05,nM,6.41,,,UO_0000065,22.27,0.44,2.74,27.31,0,CHEMBL805753,The compound was tested for affinity towards sigma-3 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1127786,1,Scientific Literature,J Med Chem,1994,None,
CHEMBL79145,,None,239.36,0,2.58,51,ON=C(NC1CCCCC1)NC1CCCCC1,IC50,'=',140,nM,6.85,,,UO_0000065,28.63,0.55,4.27,12.1,0,CHEMBL873129,In vitro inhibitory activity against [3H]- (+)-3-PPP binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL117898,,None,320.44,0,4.85,40,c1coc(CCCCN2C3CCC2c2c([nH]c4ccccc24)C3)c1,IC50,'=',28,nM,7.55,,,UO_0000065,23.57,0.43,2.7,23.48,0,CHEMBL803916,Binding affinity against sigma sites in guinea pig membrane using [3H]DTG as the radioligand,B,BAO_0000249,cell membrane format,Cavia porcellus,None,None,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126584,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL2093895,,None,301.86,0,4.09,"(1S, 3R)-(+)5",CN(C)[C@]1(C)Cc2ccccc2[C@@H](c2ccccc2)C1.Cl,IC50,'=',9,nM,8.05,,,UO_0000065,30.32,0.55,3.96,248.33,0,CHEMBL803752,"Binding affinity against sigma receptor from guinea pig brain (minus cerebellum) homogenates, using the novel [3H]-(+/-)-4 as radioligand",B,BAO_0000221,tissue-based format,Cavia porcellus,CHEMBL3638233,Cerebellum,None,None,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1126782,1,Scientific Literature,J Med Chem,1993,None,
CHEMBL415284,NALORPHINE,-1.0,311.38,0,1.75,(+)-NANM,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,IC50,'=',93,nM,7.03,,,UO_0000065,22.58,0.42,5.28,13.28,0,CHEMBL874058,Inhibition of specific binding of [3H]3-PPP to sigma receptor in Guinea pig brain membranes,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125550,1,Scientific Literature,J Med Chem,1992,None,
CHEMBL79164,,None,231.34,0,2.86,48,Cc1ccccc1/N=C(\N)NC1CCCCC1,IC50,'=',12,nM,7.92,,,UO_0000065,34.24,0.64,5.06,15.71,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL81824,,None,284.32,0,3.27,19,Cc1ccccc1/N=C(/N)Nc1ccc([N+](=O)[O-])cc1C,IC50,'=',37,nM,7.43,,,UO_0000065,26.14,0.48,4.16,7.94,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
CHEMBL81539,,None,347.26,1,5.18,31,N=C(Nc1ccccc1C(F)(F)F)Nc1ccccc1C(F)(F)F,IC50,'=',215,nM,6.67,,,UO_0000065,19.2,0.38,1.49,13.92,0,CHEMBL804883,In vitro inhibitory activity against [3H]DTG binding to Sigma opioid receptor in guinea pig brain membrane homogenates,B,BAO_0000249,cell membrane format,Cavia porcellus,CHEMBL3638188,Brain,None,Membrane,,,,CHEMBL287,Sigma opioid receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1125137,1,Scientific Literature,J Med Chem,1990,None,
