Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4462053,,None,397.91,0,3.97,96,Cc1cc(OCCN2CCN(C(=O)c3cc4ccccc4[nH]3)CC2)ccc1Cl,IC50,'=',3800,nM,5.42,,,UO_0000065,,,,,0,CHEMBL4406527,Antagonist activity at human D2R expressed in CHOK1 cells assessed as inhibition of dopamine-induced beta-arrestin recruitment measured after 120 mins by beta-galactosidase based PathHunter assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4402608,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4443848,,None,358.87,0,3.06,22; CAB02-019HP,CCc1cccc(NC(=O)CN2CCN(c3ccc(Cl)cn3)CC2)c1,IC50,'=',46795,nM,4.33,,,UO_0000065,,,,,0,CHEMBL4392176,Antagonist activity at human D2L receptor expressed in CHOK1 cells assessed as suppression of dopamine-induced inhibition of forskolin-stimulated cAMP accumulation measured after 30 mins by Eu-cAMP tracer based TR-FRET assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4390675,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL216393,,None,308.42,0,3.81,6; CAB03-015,Cc1cccc(NC(=O)CN2CCC(c3ccccc3)CC2)c1,IC50,'=',16447,nM,4.78,,,UO_0000065,,,,,0,CHEMBL4392176,Antagonist activity at human D2L receptor expressed in CHOK1 cells assessed as suppression of dopamine-induced inhibition of forskolin-stimulated cAMP accumulation measured after 30 mins by Eu-cAMP tracer based TR-FRET assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4390675,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL1945041,,None,484.02,0,4.1,33,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCc4ccccc4Cl)c3)c2s1,IC50,'=',251.19,nM,6.6,,,UO_0000065,13.64,0.27,2.5,6.78,0,CHEMBL1947794,Displacement of radiolabeled spiperone from dopamine D2 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1944599,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,
CHEMBL11,IMIPRAMINE,4.0,280.42,0,3.88,imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,IC50,'=',410,nM,6.39,,,UO_0000065,22.78,0.42,2.51,98.57,0,CHEMBL3090831,Binding affinity to dopamine D2 receptor (unknown origin) by radioligand binding assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3085767,1,Scientific Literature,J Med Chem,2013,None,
CHEMBL4436479,,None,342.87,0,4.47,8; CAB02-009HP,Cc1cccc(NC(=O)CN2CCC(c3ccc(Cl)cc3)CC2)c1,IC50,'=',71437,nM,4.15,,,UO_0000065,,,,,0,CHEMBL4392176,Antagonist activity at human D2L receptor expressed in CHOK1 cells assessed as suppression of dopamine-induced inhibition of forskolin-stimulated cAMP accumulation measured after 30 mins by Eu-cAMP tracer based TR-FRET assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4390675,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL3299097,,None,391.56,0,3.9,18e,COc1ccccc1N1CCN(CCCCCCNC(=O)OC(C)(C)C)CC1,IC50,'=',3.981,nM,8.4,,,UO_0000065,21.45,0.41,4.5,15.54,0,CHEMBL3300164,Antagonist activity at human D2L receptor expressed in FlpIn CHO cells assessed as inhibition of dopamine-induced ERK1/2 phosphorylation treated for 30 mins prior to dopamine stimulation for 5 mins by AlphaScreen assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3297649,1,Scientific Literature,J Med Chem,2014,CHEMBL3308072,
CHEMBL3806169,,None,422.36,0,4.07,9b,NC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,IC50,'=',55,nM,7.26,,,UO_0000065,,,,,0,CHEMBL3806800,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Ultra Lance cAMP assay,F,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804825,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL42,CLOZAPINE,4.0,326.83,0,3.72,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,IC50,'=',140,nM,6.85,,,UO_0000065,20.97,0.41,3.13,22.2,0,CHEMBL4394479,Antagonist activity at D2L receptor (unknown origin) expressed in human HTLA cells assessed as inhibition of dopamine-stimulated beta-arrestin2 recruitment measured after 20 to 22 hrs by brightglo-luciferase reporter gene assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4393669,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL26929,,None,394.56,0,4.73,25,COc1ccccc1N1CCN(CCCC2CCCc3c(OC)cccc32)CC1,IC50,'=',20,nM,7.7,,,UO_0000065,19.51,0.36,2.97,30.87,0,CHEMBL670113,In vitro binding affinity at human cloned Dopamine receptor D2 by [3H]spiroperidol displacement.,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131412,1,Scientific Literature,J Med Chem,1998,None,
CHEMBL3287397,,None,447.37,0,4.43,7a,O=Cc1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,IC50,'=',360,nM,6.44,,,UO_0000065,14.4,0.29,2.01,12.87,0,CHEMBL3293231,Antagonist activity at human dopamine D2 short receptor transiently expressed in HEK293 cells assessed as inhibition of beta-arrestin recruitment after 6 hrs by chemiluminescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286313,1,Scientific Literature,J Med Chem,2014,CHEMBL3307715,
CHEMBL4287980,,None,423.58,0,3.75,3r,O=C1C2CC=CCC2C(=O)N1CCCCN1CCN(c2cccc3sccc23)CC1,IC50,'=',8.5,nM,8.07,,,UO_0000065,,,,,0,CHEMBL4254801,Antagonist activity at dopamine D2 receptor (unknown origin) after 60 mins by Ultra lance cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4251643,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL261434,,None,527.64,1,4.36,1-61,Cc1cccc(N2CCN(CCCC(=O)NCc3nc4ccc(F)cc4c(=O)n3-c3ccccc3)CC2)c1C,IC50,'=',4000,nM,5.4,,,UO_0000065,10.23,0.19,1.04,7.66,0,CHEMBL920904,Binding affinity at dopamine D2 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144677,1,Scientific Literature,Bioorg Med Chem,2008,None,
CHEMBL349034,,None,383.52,0,3.8,42,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,IC50,'=',79,nM,7.1,,,UO_0000065,18.52,0.35,3.3,16.04,0,CHEMBL670114,The in vitro intrinsic activity was measured at DA D2 receptor by measuring its ability to increase [3H]thymidine uptake in CHO-K1 cells transfected with the Dopamine receptor D2,B,BAO_0000219,cell-based format,None,None,None,CHO-K1,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1131565,1,Scientific Literature,J Med Chem,1998,CHEMBL3307512,
CHEMBL4284353,,None,411.57,0,3.44,3n,CC1(C)C2C(=O)N(CCCCN3CCN(c4cccc5sccc45)CC3)C(=O)C21,IC50,'=',8.4,nM,8.08,,,UO_0000065,,,,,0,CHEMBL4254801,Antagonist activity at dopamine D2 receptor (unknown origin) after 60 mins by Ultra lance cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4251643,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL3134068,,None,843.12,2,8.97,7e,CN1CCc2cccc3c2[C@H]1Cc1ccc(OCCCNC(=O)CCCCCCCCCCC(=O)NCCCOc2ccc4c(c2O)-c2cccc5c2[C@@H](C4)N(C)CC5)c(O)c1-3,IC50,'=',183,nM,6.74,,,UO_0000065,7.99,0.15,-2.23,5.45,0,CHEMBL3136959,Displacement of [3H]spiperone from human recombinant dopamine D2L receptor expressed in CHOFlpIn cells after 3 hrs by liquid scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3132795,1,Scientific Literature,Medchemcomm,2013,None,
CHEMBL4588808,,None,325.42,0,1.94,17; RNB01-007,Cc1cccc(NC(=O)CCN2CCN(c3ncccn3)CC2)c1,IC50,'=',11847,nM,4.93,,,UO_0000065,,,,,0,CHEMBL4392186,Antagonist activity at human D2L receptor expressed in CHOK1 cells assessed as inhibition of dopamine-induced beta-arrestin recruitment measured after 90 mins by luminescence assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4390675,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL4591118,,None,331.81,0,1.89,26; CAB02-035HP,O=C(CN1CCN(c2ccc(Cl)cn2)CC1)Nc1cccnc1,IC50,'=',86617,nM,4.06,,,UO_0000065,,,,,0,CHEMBL4392176,Antagonist activity at human D2L receptor expressed in CHOK1 cells assessed as suppression of dopamine-induced inhibition of forskolin-stimulated cAMP accumulation measured after 30 mins by Eu-cAMP tracer based TR-FRET assay,A,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4390675,1,Scientific Literature,J Med Chem,2019,None,
CHEMBL2016624,,None,909.88,3,5.96,14,CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)CCC(=O)OCCOC(=O)CCC(=O)NN3c4ccc(Cl)cc4N=C(N4CCN(C)CC4)c4ccccc43)c3ccccc32)CC1,IC50,'=',2398.83,nM,5.62,,,UO_0000065,6.18,0.12,-0.34,3.63,0,CHEMBL2020816,Inhibition of human dopamine D2L receptor expressed in intact CHO FlpIn cells assessed as inhibition of receptor-mediated mediated ERK1/2 phosphorylation by Alpha-Screen plate-based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2016514,1,Scientific Literature,J Med Chem,2012,CHEMBL3308072,
CHEMBL4218526,,None,440.52,0,4.15,12b,CCNC(=O)c1cncc(OCCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1,IC50,'=',59,nM,7.23,,,UO_0000065,,,,,0,CHEMBL4187998,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Lance Ultra cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4184238,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4215048,,None,443.55,0,3.17,17d,CNC(=O)c1ccnc(OCCCCN2CCN(c3nsc4cc(F)ccc34)CC2)c1,IC50,'=',89.1,nM,7.05,,,UO_0000065,,,,,0,CHEMBL4187998,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Lance Ultra cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4184238,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4207328,,None,437.37,0,3.73,22c,CNC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n1,IC50,'=',51.1,nM,7.29,,,UO_0000065,,,,,0,CHEMBL4187998,Antagonistic activity at human dopamine D2 receptor measured after 60 mins by Lance Ultra cAMP assay,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4184238,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL70319,,None,474.89,0,3.95,9e,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,IC50,'=',30,nM,7.52,,,UO_0000065,15.84,0.33,3.57,10.13,0,CHEMBL671075,Binding affinity towards human Dopamine receptor D2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1132638,1,Scientific Literature,J Med Chem,1999,None,
CHEMBL62829,,None,348.42,0,3.6,5a,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,IC50,'=',81,nM,7.09,,,UO_0000065,20.35,0.37,3.49,21.98,0,CHEMBL671073,Binding affinity to cloned human Dopamine receptor D2 expressed in A9L cells by [3H]spiperone displacement.,B,BAO_0000219,cell-based format,None,None,None,A9L,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1130912,1,Scientific Literature,Bioorg Med Chem Lett,1998,None,
CHEMBL22242,REMOXIPRIDE,4.0,371.28,0,2.68,2 (Remoxipride),CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,IC50,'=',880,nM,6.06,,,UO_0000065,16.31,0.38,3.38,11.92,0,CHEMBL671074,"Binding affinity to dopamine receptor D2 cloned from human, using [3H]- YM09151 as competitive ligand",B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133592,1,Scientific Literature,J Med Chem,2000,None,
CHEMBL259776,,None,529.62,1,3.75,1-65,COc1ccccc1N1CCN(CCCC(=O)NCc2nc3ccc(F)cc3c(=O)n2-c2ccccc2)CC1,IC50,'=',5300,nM,5.28,,,UO_0000065,9.96,0.18,1.53,6.62,0,CHEMBL920904,Binding affinity at dopamine D2 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144677,1,Scientific Literature,Bioorg Med Chem,2008,None,
CHEMBL2326486,,None,233.34,0,1.96,1c,CCN[C@@H]1Cc2cc3nc(N)sc3cc2C1,IC50,'=',670,nM,6.17,,,UO_0000065,,,,,0,CHEMBL2328744,Antagonist activity at human D2 dopamine receptor expressed in CHO cell membrane by GTPgammaS-binding assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2321835,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3308072,
CHEMBL259199,,None,573.67,1,4.15,1-83,CCOc1ccccc1N1CCN(CCCC(=O)NCc2nc3cc(F)ccc3c(=O)n2-c2ccc(OC)cc2)CC1,IC50,'=',1500,nM,5.82,,,UO_0000065,10.15,0.19,1.67,6.55,0,CHEMBL920904,Binding affinity at dopamine D2 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144677,1,Scientific Literature,Bioorg Med Chem,2008,None,
CHEMBL8514,BUTACLAMOL,-1.0,361.53,0,4.84,butaclamol,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,IC50,'=',5,nM,8.3,,,UO_0000065,,,,,0,CHEMBL3295410,Antagonist activity at human recombinant at D2S receptor assessed as inhibition of dopamine-induced cAMP accumulation,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3286108,1,Scientific Literature,J Med Chem,2014,None,
CHEMBL2326480,,None,339.46,0,3.49,7d,COc1cccc(CN2CCc3cc4nc(N)sc4cc3CC2)c1,IC50,'=',900,nM,6.05,,,UO_0000065,,,,,0,CHEMBL2328744,Antagonist activity at human D2 dopamine receptor expressed in CHO cell membrane by GTPgammaS-binding assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL2321835,1,Scientific Literature,Bioorg Med Chem Lett,2013,CHEMBL3308072,
CHEMBL300780,,None,494.47,1,5.9,"3, NGB2904",O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,IC50,'=',1280,nM,5.89,,,UO_0000065,,,,,0,CHEMBL895651,Antagonist activity at human dopamine D2 receptor expressed in HEK293 cells by mitogenesis assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1148745,1,Scientific Literature,J Med Chem,2007,CHEMBL3307715,
CHEMBL1807825,,None,491.68,0,3.27,13,CCOc1ccc(CCNCCCSCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,IC50,'=',3981.07,nM,5.4,,,UO_0000065,10.98,0.22,2.13,5.07,0,CHEMBL1810621,Binding affinity to dopamine 2 receptor,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL217,Dopamine D2 receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1806408,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,
